,AppNumber,ApplicantType,ApprovedMatching,ApprovedOutright,AwardMatching,AwardOutright,BeginGrant,CouncilDate,Discipline,DisciplineCount,Division,EndGrant,InstCity,InstCountry,InstPostalCode,InstState,Institution,OrganizationType,OriginalAmount,Participant,ParticipantCount,PrimaryDiscipline,Program,ProjectDesc,ProjectTitle,SupplementCount,ToSupport,YearAwarded
860,OP-10001-67,O,0.0000,50000.0000,0.0000,50000.0000,1967-07-01T00:00:00,1967-05-22,"{'Name': 'Interdisciplinary Studies, General'}",1,Miscellaneous Humanities Projects,1971-01-31T00:00:00,New York,USA,10019,NY,"Academy for Educational Development, Inc.",National Organization,50000.0000,"{'Firstname': 'Alvin', 'Lastname': 'Eurich', 'Institution': 'Academy for Educational Development, Inc.', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-07-01T00:00:00'}",1,"Interdisciplinary Studies, General",Planning & Assessment Studies,{},Diplomat's Reading Program [H-67-O-119],0,{},1967
861,RB-10001-69,O,50000.0000,0.0000,50000.0000,0.0000,1968-07-01T00:00:00,1969-02-17,"{'Name': 'History, General'}",1,Research Programs,1971-06-30T00:00:00,{},{},{},{},Unaffiliated Independent Scholar,Unknown,50000.0000,"{'Firstname': 'Donald', 'Lastname': 'Jackson', 'Institution': 'Unaffiliated Independent Scholar', 'City': {}, 'State': {}, 'Country': {}, 'ParticipantTypeID': 'Project Director', 'ValidFr': '1968-07-01T00:00:00'}",1,"History, General",Bicentennial Histories,{},The Papers of George Washington,0,"The worldwide search, cataloguing, and preparation for publication of documents relating to the American founder, military leader, and first president of the United States.",1969
862,RB-10007-69,O,0.0000,9980.0000,0.0000,9980.0000,1969-07-01T00:00:00,1969-05-15,{'Name': 'Jurisprudence'},1,Research Programs,1970-06-30T00:00:00,Cambridge,USA,02138-3800,MA,Harvard University,University,9980.0000,"{'Firstname': 'Morris', 'Lastname': 'Cohen', 'Institution': 'Yale University', 'City': 'New Haven', 'State': 'CT', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-07-01T00:00:00'}",1,Jurisprudence,Bicentennial Histories,{},Bibliography of Early American Law,0,{},1969
863,RB-10021-69,O,20000.0000,10000.0000,20000.0000,10000.0000,1969-07-01T00:00:00,1969-05-15,"{'Name': 'History, General'}",1,Research Programs,1970-09-30T00:00:00,Baltimore,USA,21218-2608,MD,Johns Hopkins University,University,30000.0000,"{'Firstname': 'Jack', 'Lastname': 'Greene', 'Institution': 'Johns Hopkins University', 'City': 'Baltimore', 'State': 'MD', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-07-01T00:00:00'}",1,"History, General",Bicentennial Histories,"Project to re-create the community of Annapolis, Maryland as it existed from 1782-1786 in a book or series of articles which will enhance historical understanding of this important 18th century urban cultural and political center.  ABSTRACT:  Project purposes to re-create the community of Annapolis, Maryland as it existed from 1782-86 in a book or series of articles which will enhance historical understanding of this important 18th century urban cultural and political center and, therefore, illuminate a significant segment of national heritage.  During the period under study, Annapolis played important role in nurturing the nation's new government, serving for a time as the U.S. capital, as the site of the Confederation Congress and of the Annapolis convention (which resulted in the Constitutional Convention).  Will question how revolutionary Annopolis was structured economically, socially and politically and how it functioned.  Emphasis on physical similarities of present city to past community in effort to relate community to its environment.  Annapolis particularly suited to project because of its well-preserved state and the availability of records and documents regarding the city and its historic development.  Other purposes of the project are to improve present community spirit and involvment and to development knowledge that will serve as incentive for an historical restoration and interpretation program.  Fund for salaries, supplies, computer time, travel.","Urban Society at the End of the Revolution: Annapolis 1782-86, Community and Congress",0,{},1969
864,RE-10004-68,O,0.0000,10000.0000,0.0000,10000.0000,1968-02-01T00:00:00,1967-11-01,"{'Name': 'History, General'}",1,Research Programs,1969-01-31T00:00:00,Flushing,USA,11367-1597,NY,"CUNY Research Foundation, Queens College",Four-Year College,10000.0000,"{'Firstname': 'E. James', 'Lastname': 'Ferguson', 'Institution': 'Queens College, City University of New York', 'City': 'Flushing', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1968-02-01T00:00:00'}",1,"History, General",Editions,{},Edition of the Papers of Robert Morris,0,{},1968
865,RE-10006-69,O,0.0000,3671.0000,0.0000,3671.0000,1968-07-01T00:00:00,1968-11-18,"{'Name': 'History, General'}",1,Research Programs,1968-12-31T00:00:00,New York,USA,10027,NY,Columbia University,University,3671.0000,"{'Firstname': 'Richard', 'Lastname': 'Morris', 'Institution': 'Columbia University', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1968-07-01T00:00:00'}",1,"History, General",Editions,{},John Jay Papers Project,0,{},1969
866,RE-10012-69,O,0.0000,5000.0000,0.0000,5000.0000,1969-01-01T00:00:00,1968-11-18,"{'Name': 'Philosophy, General'}",1,Research Programs,1969-12-31T00:00:00,{},{},{},{},Unaffiliated Independent Scholar,Unknown,5000.0000,"{'Firstname': 'Amnon', 'Lastname': 'Goldworth', 'Institution': 'Unaffiliated Independent Scholar', 'City': {}, 'State': {}, 'Country': {}, 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-01-01T00:00:00'}",1,"Philosophy, General",Editions,{},The Jeremy Bentham Study,0,{},1969
867,RE-10020-69,O,0.0000,10000.0000,0.0000,10000.0000,1969-02-01T00:00:00,1968-11-18,"{'Name': 'History, General'}",1,Research Programs,1970-01-31T00:00:00,Flushing,USA,11367-1597,NY,"CUNY Research Foundation, Queens College",Four-Year College,10000.0000,"{'Firstname': 'E. James', 'Lastname': 'Ferguson', 'Institution': 'Queens College, City University of New York', 'City': 'Flushing', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-02-01T00:00:00'}",1,"History, General",Editions,{},Robert Morris Papers,0,{},1969
868,RE-10022-69,O,0.0000,8000.0000,0.0000,8000.0000,1969-01-01T00:00:00,1968-11-18,{'Name': 'Music History and Criticism'},1,Research Programs,1969-12-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,8000.0000,"{'Firstname': 'Barry', 'Lastname': 'Brook', 'Institution': 'CUNY Research Foundation, City College', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-01-01T00:00:00'}",1,Music History and Criticism,Editions,{},International Repertory of Music Literature Project,0,{},1969
869,RE-10024-69,O,0.0000,4930.0000,0.0000,4930.0000,1969-04-01T00:00:00,1968-11-18,{'Name': 'Linguistics'},1,Research Programs,1970-06-30T00:00:00,Bloomington,USA,47405,IN,"Indiana University, Bloomington",University,4930.0000,"{'Firstname': 'Thomas', 'Lastname': 'Sebeok', 'Institution': 'Indiana University, Indianapolis', 'City': 'Indianapolis', 'State': 'IN', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-04-01T00:00:00'}",1,Linguistics,Editions,{},Linguistics in North America,0,{},1969
870,RE-10026-69,O,0.0000,9376.0000,0.0000,9376.0000,1969-09-01T00:00:00,1969-05-15,"{'Name': 'History, General'}",1,Research Programs,1970-06-30T00:00:00,College Park,USA,20742-5141,MD,"University of Maryland, College Park",University,9376.0000,"{'Firstname': 'Louis', 'Lastname': 'Harlan', 'Institution': 'University of Maryland, College Park', 'City': 'College Park', 'State': 'MD', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-09-01T00:00:00'}",1,"History, General",Editions,{},Booker T. Washington Papers Project,0,{},1969
