,AppNumber,ApplicantType,ApprovedMatching,ApprovedOutright,AwardMatching,AwardOutright,BeginGrant,CouncilDate,Discipline,DisciplineCount,Division,EndGrant,InstCity,InstCountry,InstPostalCode,InstState,Institution,OrganizationType,OriginalAmount,Participant,ParticipantCount,PrimaryDiscipline,Program,ProjectDesc,ProjectTitle,Supplement,SupplementAmount,SupplementCount,ToSupport,Unnamed: 0,YearAwarded
16850,EH-*0305-80,O,0.0,148139.0,0.0,148139.0,1980-01-01T00:00:00,1979-11-01,"[{'Name': 'Slavic Languages'}, {'Name': 'Slavic Literature'}, {'Name': 'Theater History and Criticism'}]",3,Education Programs,1983-12-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,148139.0,"{'Firstname': 'Daniel', 'Lastname': 'Gerould', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1979-08-01T00:00:00'}",1,Slavic Literature,Institutes for College and University Teachers,{},Institute on Contemporary Eastern European Drama,,,0,"To support a six-week summer institute, on contemporary Polish and Soviet drama. 20 college teachers will engage in comparative study and in joint curriculum planning to prepare to teach a new course at their home institutions",735,1980
16889,EH-*1624-81,O,0.0,247266.0,0.0,247266.0,1981-09-01T00:00:00,1980-11-01,"{'Name': 'History, General'}",1,Education Programs,1985-12-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,247266.0,"{'Firstname': 'Alan', 'Lastname': 'Gartner', 'Institution': 'CUNY Research Foundation, City College', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1980-07-18T00:00:00'}",1,"History, General",Institutes for College and University Teachers,{},History and Humanities Program,,,0,"To provide continuing support for curriculum work in social history by New YorkCity-area community college faculty, working at the City University Graduate Center. The community college faculty are studying the new social history and preparing new courses.",774,1981
16914,EH-20179-82,O,0.0,134575.0,0.0,134575.0,1982-01-01T00:00:00,1981-11-01,"[{'Name': 'Slavic Literature'}, {'Name': 'Theater History and Criticism'}]",2,Education Programs,1984-06-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,134575.0,"{'Firstname': 'Alma', 'Lastname': 'Law', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1981-07-10T00:00:00'}",1,Slavic Literature,Institutes for College and University Teachers,{},Humanities Institute on Contemporary Eastern European Drama: Poland and the Soviet Union,,,0,"To support a six-week summer institute for twenty college teachers of Slavic literature and of drama on the subject, Contemporary Eastern European Drama: Poland and the Soviet Union. Participants will prepare new courses and a report.",799,1982
17490,ES-20396-82,O,0.0,103103.0,0.0,103103.0,1982-03-01T00:00:00,1982-02-01,{'Name': 'French Language'},1,Education Programs,1983-09-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,103103.0,"{'Firstname': 'Renee', 'Lastname': 'Waldinger', 'Institution': 'CUNY Research Foundation', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1981-10-15T00:00:00'}",1,French Language,Institutes for School Teachers,{},French Contemporary Culture: Institute for Secondary ForeignLanguage Teachers,,,0,To support a four-week institute in French contemporary culture for 40 New YorkCity secondary foreign language teachers to be followed by a year of in-servicetraining.,1375,1982
17606,ES-20864-83,O,0.0,90000.0,0.0,90000.0,1984-01-01T00:00:00,1983-08-01,"[{'Name': 'French Language'}, {'Name': 'French Literature'}]",2,Education Programs,1985-06-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,90000.0,"{'Firstname': 'Renee', 'Lastname': 'Waldinger', 'Institution': 'CUNY Research Foundation', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1983-06-21T00:00:00'}",1,French Language,Institutes for School Teachers,{},Institute on Francophone Culture,,,0,"To support a summer institute for area high school French teachers in the French language and the cultures of Canada, Haiti, and Senegal.",1491,1983
17643,ES-21013-84,O,0.0,199331.0,0.0,193371.98,1984-09-01T00:00:00,1984-05-01,"[{'Name': 'Education'}, {'Name': 'Interdisciplinary Studies, General'}]",2,Education Programs,1986-10-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,193371.98,"{'Firstname': 'Renee', 'Lastname': 'Waldinger', 'Institution': 'CUNY Research Foundation', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1984-01-16T00:00:00'}",1,"Interdisciplinary Studies, General",Institutes for School Teachers,{},Center for Secondary Schools,,,0,"To support a series of institutes in English, history, and foreign languages for New York City secondary teachers.",1528,1984
17792,FA-*0096-80,I,0.0,20000.0,0.0,20000.0,1980-01-01T00:00:00,1979-11-01,{'Name': 'Music History and Criticism'},1,Research Programs,1981-12-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,20000.0,"{'Firstname': 'Marvin', 'Lastname': 'Paymer', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1979-09-30T00:00:00'}",1,Music History and Criticism,Fellowships for University Teachers,{},The Authenticity of Vocal Works Attributed to Pergolesi,,,0,{},1677,1980
18635,FA-27442-87,I,0.0,27500.0,0.0,12250.0,1987-01-01T00:00:00,1986-11-01,{'Name': 'Literary Criticism'},1,Research Programs,1987-06-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,12250.0,"{'Firstname': 'Irving', 'Lastname': 'Howe', 'Institution': 'CUNY Research Foundation, City College', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1986-06-05T00:00:00'}",1,Literary Criticism,Fellowships for University Teachers,{},An Analytic and Critical Study of the Craft of Fiction,,,0,{},2520,1987
19735,FE-20250-86,I,0.0,500.0,0.0,500.0,1986-05-01T00:00:00,1985-11-01,{'Name': 'Gender Studies'},1,Fellowships and Seminars,1986-09-30T00:00:00,New York,USA,10012,NY,"CUNY Research Foundation, Graduate School and University Center",Individual,500.0,"{'Firstname': 'Marion', 'Lastname': 'Kaplan', 'Institution': 'New York University', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1985-09-20T00:00:00'}",1,Gender Studies,"Travel to Collections, 11/85 - 2/95",{},Social History of Jewish Women in Imperial Germany,,,0,{},3620,1986
20071,FE-21001-87,I,0.0,750.0,0.0,750.0,1986-12-01T00:00:00,1986-11-01,{'Name': 'Music History and Criticism'},1,Fellowships and Seminars,1987-01-31T00:00:00,Stamford,USA,06906,CT,"CUNY Research Foundation, Graduate School and University Center",Individual,750.0,"{'Firstname': 'Marvin', 'Lastname': 'Paymer', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1986-07-18T00:00:00'}",1,Music History and Criticism,"Travel to Collections, 11/85 - 2/95",{},Pergolesi Sources at the British Library,,,0,{},3956,1987
