,AppNumber,ApplicantType,ApprovedMatching,ApprovedOutright,AwardMatching,AwardOutright,BeginGrant,CouncilDate,Discipline,DisciplineCount,Division,EndGrant,InstCity,InstCountry,InstPostalCode,InstState,Institution,OrganizationType,OriginalAmount,Participant,ParticipantCount,PrimaryDiscipline,Program,ProjectDesc,ProjectTitle,Supplement,SupplementAmount,SupplementCount,ToSupport,Unnamed: 0,YearAwarded
30223,CU-20178-87,O,500000.0,0.0,500000.0,0.0,1987-01-01T00:00:00,1986-11-01,{'Name': 'Art History and Criticism'},1,Challenge Grants,1993-10-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,500000.0,"{'Firstname': 'Steven', 'Lastname': 'Cahn', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1986-05-05T00:00:00'}",1,Art History and Criticism,Challenge Grants for Universities,{},Challenge Grant,,,0,"To establish endowments for four new professorial chairs in the following disciplines: art history, comparative literature, music history, and the history of theater.",14108,1987
30364,EH-20863-88,O,0.0,189958.0,0.0,156438.28,1988-10-01T00:00:00,1988-08-01,"{'Name': 'Interdisciplinary Studies, General'}",1,Education Programs,1991-02-28T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,156438.28,"{'Firstname': 'Renee', 'Lastname': 'Waldinger', 'Institution': 'CUNY Research Foundation', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1988-04-12T00:00:00'}",1,"Interdisciplinary Studies, General",Institutes for College and University Teachers,{},Institute on The French Revolution: Texts and Contexts,,,0,To support a national institute on the French Revolution for 30 college humanities teachers.,14249,1988
30593,ES-20982-84,O,0.0,215000.0,0.0,208375.32,1984-03-01T00:00:00,1984-02-01,{'Name': 'Russian History'},1,Education Programs,1988-03-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,193375.32,"{'Firstname': 'Abraham', 'Lastname': 'Ascher', 'Institution': 'CUNY Research Foundation, City College', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1985-05-08T00:00:00'}",1,Russian History,Institutes for School Teachers,{},Conferences on the Place of the History of Russia and Soviet Union in Social Studies Courses in High School,"{'SupplementDate': '1985-06-04T00:00:00', 'OutrightAmount': '15000.0000', 'MatchAmount': '0.0000'}",15000.0,1,To support three conferences around the country on teaching the history of Russia and the Soviet Union in secondary school.,14478,1984
30617,ES-21337-86,O,0.0,300000.0,0.0,268983.0,1987-01-01T00:00:00,1986-05-01,"{'Name': 'Interdisciplinary Studies, General'}",1,Education Programs,1989-12-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,268983.0,"{'Firstname': 'Renee', 'Lastname': 'Waldinger', 'Institution': 'CUNY Research Foundation', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1986-01-08T00:00:00'}",1,"Interdisciplinary Studies, General",Institutes for School Teachers,{},School-University Partnership in the Humanities,,,0,"To support a collaborative project on various topics in the humanities, each tobe taught by members of the graduate faculty to 80 secondary teachers in three-week summer institutes. Follow-up conferences and curriculum development activities will take place in the ensuing academic year.",14502,1986
30776,FA-26330-86,I,0.0,27500.0,0.0,27500.0,1987-02-01T00:00:00,1985-11-01,"{'Name': 'Political Science, General'}",1,Research Programs,1988-01-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,27500.0,"{'Firstname': 'Bernard', 'Lastname': 'Brown', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1985-06-03T00:00:00'}",1,"Political Science, General",Fellowships for University Teachers,{},Worker Democracy in France,,,0,{},14661,1986
30896,FA-27585-88,I,0.0,27500.0,0.0,27500.0,1988-09-01T00:00:00,1987-11-01,{'Name': 'Russian History'},1,Research Programs,1989-08-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,27500.0,"{'Firstname': 'Abraham', 'Lastname': 'Ascher', 'Institution': 'CUNY Research Foundation, City College', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1987-05-28T00:00:00'}",1,Russian History,Fellowships for University Teachers,{},"The Russian Revolution of 1905, Volume 2",,,0,{},14781,1988
32093,FE-23137-89,I,0.0,750.0,0.0,750.0,1989-06-01T00:00:00,1989-05-01,{'Name': 'Music History and Criticism'},1,Fellowships and Seminars,1989-11-30T00:00:00,New York,USA,10036-8099,NY,"CUNY Research Foundation, Graduate School and University Center",Individual,750.0,"{'Firstname': 'Joseph', 'Lastname': 'Straus', 'Institution': 'Queens University of Charlotte', 'City': 'Charlotte', 'State': 'NC', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1989-01-05T00:00:00'}",1,Music History and Criticism,"Travel to Collections, 11/85 - 2/95",{},"The Musical Language of Stravinsky, THE RAKE'S PROGRESS",,,0,{},15978,1989
32391,FE-23990-89,I,0.0,750.0,0.0,750.0,1989-06-01T00:00:00,1989-05-01,{'Name': 'British Literature'},1,Fellowships and Seminars,1989-11-30T00:00:00,New York,USA,10033-0000,NY,"CUNY Research Foundation, Graduate School and University Center",Individual,750.0,"{'Firstname': 'Anne', 'Lastname': 'Humpherys', 'Institution': 'CUNY Research Foundation, Lehman College', 'City': 'Bronx', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1989-02-01T00:00:00'}",1,British Literature,"Travel to Collections, 11/85 - 2/95",{},"Novels of the 1830s and 1840s: Fiction, the Press, and the Stage",,,0,{},16276,1989
32828,FS-21879-89,O,0.0,91495.0,0.0,91495.0,1988-10-01T00:00:00,1988-08-01,"{'Name': 'Political Science, General'}",1,Education Programs,1989-09-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,91495.0,"{'Firstname': 'Bernard', 'Lastname': 'Brown', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1988-03-04T00:00:00'}",1,"Political Science, General",Seminars for College Teachers,{},Modern French Politics,,,0,{},16713,1989
32829,FS-21880-88,O,0.0,73560.0,0.0,73560.0,1988-10-01T00:00:00,1988-08-01,{'Name': 'Classics'},1,Education Programs,1989-09-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,73220.0,"{'Firstname': 'Sarah', 'Lastname': 'Pomeroy', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1989-10-20T00:00:00'}",1,Classics,Seminars for College Teachers,{},The Family in Classical and Hellenistic Greece,"{'SupplementDate': '1989-11-07T00:00:00', 'OutrightAmount': '340.0000', 'MatchAmount': '0.0000'}",340.0,1,{},16714,1988
34528,RC-21439-87,O,5000.0,89968.0,4998.91,89968.0,1987-07-01T00:00:00,1987-05-01,{'Name': 'Music History and Criticism'},1,Preservation and Access,1989-08-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,94966.91,"{'Firstname': 'Barry', 'Lastname': 'Brook', 'Institution': 'CUNY Research Foundation, City College', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1986-11-10T00:00:00'}",1,Music History and Criticism,Reference Materials - Access,{},RILM Abstracts of Music Literature: Currency Project [RILM],,,0,"To support the compilation of 11 extra issues of the Repertoire International de Litterature Musicale's RILM ABSTRACTS OF MUSIC LITERATURE, which will help RILM to achieve coverage of retrospective materials.",18413,1987
34580,RC-21735-89,O,100000.0,150000.0,99123.69,150000.0,1989-07-01T00:00:00,1989-05-01,{'Name': 'Classics'},1,Preservation and Access,1991-12-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,249123.69,"{'Firstname': 'Dee', 'Lastname': 'Clayman', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1988-11-07T00:00:00'}",1,Classics,Reference Materials - Access,{},Database of Classical Bibliography [DCB],,,0,"To support the first phase of the preparation of a compact disk (CD-ROM) ver- sion of seven volumes of L'ANNEE PHILOLOGIQUE, the annual international bibli- ography of classical studies.",18465,1989
34733,RE-20807-89,O,19992.0,50000.0,19992.0,50000.0,1989-04-01T00:00:00,1989-02-01,{'Name': 'Music History and Criticism'},1,Research Programs,1992-03-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,69992.0,"{'Firstname': 'Barry', 'Lastname': 'Brook', 'Institution': 'CUNY Research Foundation, City College', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1988-06-07T00:00:00'}",1,Music History and Criticism,Editions,{},Giovanni Battista Pergolesi Complete Works: A Critical Edition of his Compositions,,,0,"To support work on six volumes of a complete edition of the compositions of Giovanni Battista Pergolesi, 1710-36.",18618,1989
35103,RO-21797-88,O,125000.0,125000.0,125000.0,125000.0,1988-07-01T00:00:00,1988-05-01,{'Name': 'African History'},1,Research Programs,1992-06-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,250000.0,"{'Firstname': 'Thomas', 'Lastname': 'Karis', 'Institution': 'Secondary School', 'City': {}, 'State': {}, 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1987-10-26T00:00:00'}",1,African History,Basic Research,{},Documentary History of Black Protest and Challenge in South Africa Since 1964,,,0,"To support the collection of documents on the history of black political pro- test in South Africa since l964. Drawn from protest groups, these sources cover a wide range of black political expression.",18988,1988
36258,ED-20667-97,O,15000.0,270000.0,15000.0,270000.0,1997-06-01T00:00:00,1997-03-01,{'Name': 'U.S. History'},1,Education Programs,1999-12-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,285000.0,"{'Firstname': 'Joshua', 'Lastname': 'Brown', 'Institution': 'Research Foundation CUNY for the Graduate Center CUNY', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1996-10-01T00:00:00'}",1,U.S. History,Education Development and Demonstration,{},"The New Media Classroom: Building a National Conversation on Inquiry, Narrative and Technology in the US History Survey",,,0,To support national workshops for faculty and teachers designed to encourage the use of new digital resources for teaching U.S. history survey courses.,406,1997
36372,ED-21431-99,O,10000.0,240000.0,10000.0,240000.0,1999-06-01T00:00:00,1999-03-01,{'Name': 'U.S. History'},1,Education Programs,2001-12-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,250000.0,"{'Firstname': 'Joshua', 'Lastname': 'Brown', 'Institution': 'Research Foundation CUNY for the Graduate Center CUNY', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1998-10-15T00:00:00'}",1,U.S. History,Education Development and Demonstration,{},The New Media Classroom: Expanding Horizons,,,0,TO SUPPORT summer workshops and academic year follow-up activities to strengthen the ability of regional centers to deliver professional development programs aimed at helping teachers master the new media in teaching humanities.,520,1999
36442,EF-20118-93,O,0.0,143338.0,0.0,100225.13,1992-09-01T00:00:00,1992-08-01,{'Name': 'French Language'},1,Education Programs,1995-01-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,100225.13,"{'Firstname': 'Renee', 'Lastname': 'Waldinger', 'Institution': 'CUNY Research Foundation', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1992-03-25T00:00:00'}",1,French Language,Special Opportunity in Foreign Language Education,{},A Model in French with a Proficiency Orientation,,,0,To support a two-year project for ten professors of French from nine depart- ments in the CUNY system who will develop materials and approaches for im- proved teaching and direct graduate students in their use.,590,1993
37087,ES-21847-90,O,0.0,23597.0,0.0,23029.08,1989-12-01T00:00:00,1989-11-01,{'Name': 'Jewish Studies'},1,Education Programs,1991-05-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,23029.08,"{'Firstname': 'Randolph', 'Lastname': 'Braham', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1989-05-19T00:00:00'}",1,Jewish Studies,Institutes for School Teachers,{},Holocaust Perspectives: The Word and the Image,,,0,To support a study project on the Holocaust in literature and film for 11 middle and secondary school teachers of social studies and English.,1235,1990
37674,FA-30509-91,I,0.0,30000.0,0.0,30000.0,1991-02-01T00:00:00,1990-11-01,{'Name': 'Slavic Literature'},1,Research Programs,1992-01-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,30000.0,"{'Firstname': 'Amy', 'Lastname': 'Mandelker', 'Institution': 'CUNY Research Foundation, Hunter College', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1990-06-12T00:00:00'}",1,Slavic Literature,Fellowships for University Teachers,{},ANNA KARENINA and the Novel of Adultery,,,0,{},1822,1991
37859,FA-31781-93,I,0.0,30000.0,0.0,30000.0,1993-01-01T00:00:00,1992-11-01,{'Name': 'American Literature'},1,Research Programs,1993-12-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,30000.0,"{'Firstname': 'Evelyn', 'Lastname': 'Barish', 'Institution': 'CUNY Research Foundation, College of Staten Island', 'City': 'Staten Island', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1992-06-05T00:00:00'}",1,American Literature,Fellowships for University Teachers,{},Paul de Man in His Times,,,0,{},2007,1993
39193,FB-33745-96,I,0.0,30000.0,0.0,20500.0,1996-07-01T00:00:00,1995-11-01,{'Name': 'Sociology'},1,Research Programs,1996-12-31T00:00:00,New York,USA,10016,NY,"CUNY Research Foundation, Graduate School and University Center",Individual,20500.0,"{'Firstname': 'John', 'Lastname': 'Torpey', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1995-05-05T00:00:00'}",1,Sociology,Fellowships for College Teachers and Independent Scholars,{},"Passports, Genocide, and Social Control: A Comparative and Historical Study of Document-Based Surveillance",,,0,{},3341,1996
39532,FD-21493-93,I,0.0,17500.0,0.0,17500.0,1993-07-01T00:00:00,1993-05-01,{'Name': 'American Literature'},1,Fellowships and Seminars,1994-06-30T00:00:00,New York,USA,10024,NY,"CUNY Research Foundation, Graduate School and University Center",Individual,17500.0,"{'Firstname': 'Barbara', 'Lastname': 'Comins', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1992-11-17T00:00:00'}",1,American Literature,Dissertation Grants,{},Musical Orchestration in the Poetry of Wallace Stevens,,,0,{},3680,1993
39555,FD-22115-94,I,0.0,14000.0,0.0,14000.0,1994-06-01T00:00:00,1994-05-01,{'Name': 'Anthropology'},1,Fellowships and Seminars,1995-05-31T00:00:00,New York,USA,10003,NY,"CUNY Research Foundation, Graduate School and University Center",Individual,14000.0,"{'Firstname': 'Yvonne', 'Lastname': 'Lassalle', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1993-11-30T00:00:00'}",1,Anthropology,Dissertation Grants,{},"Reluctant Nationalists: Religion, History, and Politics of Identity in Andalusia, 1968-93",,,0,{},3703,1994
39584,FD-22845-95,I,0.0,14000.0,0.0,14000.0,1995-07-01T00:00:00,1995-05-01,{'Name': 'U.S. History'},1,Fellowships and Seminars,1996-02-28T00:00:00,New York,USA,10026,NY,"CUNY Research Foundation, Graduate School and University Center",Individual,14000.0,"{'Firstname': 'Andrea', 'Lastname': 'Balis', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1994-12-06T00:00:00'}",1,U.S. History,Dissertation Grants,{},"A Social History of Sulfa Drugs in the United States, 1936-41",,,0,{},3732,1995
40207,FE-26004-91,I,0.0,750.0,0.0,750.0,1991-06-01T00:00:00,1991-05-01,{'Name': 'Ethics'},1,Fellowships and Seminars,1992-05-30T00:00:00,New York,USA,10024,NY,"CUNY Research Foundation, Graduate School and University Center",Individual,750.0,"{'Firstname': 'Bernard', 'Lastname': 'Baumrin', 'Institution': 'CUNY Research Foundation, Lehman College', 'City': 'Bronx', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1991-01-24T00:00:00'}",1,Ethics,"Travel to Collections, 11/85 - 2/95",{},The Development of the Idea of Equality in English Political & Social Thought,,,0,{},4355,1991
42257,FS-22198-91,O,0.0,90760.0,0.0,90759.15,1990-10-01T00:00:00,1990-08-01,"{'Name': 'Political Science, General'}",1,Education Programs,1991-09-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,90759.15,"{'Firstname': 'Bernard', 'Lastname': 'Brown', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1990-03-06T00:00:00'}",1,"Political Science, General",Seminars for College Teachers,{},Modern French Politics,,,0,{},6405,1991
42261,FS-22209-91,O,0.0,97148.0,0.0,97072.85,1990-10-01T00:00:00,1990-08-01,{'Name': 'U.S. History'},1,Education Programs,1991-09-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,97072.85,"{'Firstname': 'Thomas', 'Lastname': 'Kessner', 'Institution': 'CUNY Graduate Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1990-03-07T00:00:00'}",1,U.S. History,Seminars for College Teachers,{},"The Making of Modern America, 1918-41",,,0,{},6409,1991
42293,FS-22286-91,O,0.0,85854.0,0.0,85546.52,1990-10-01T00:00:00,1990-08-01,{'Name': 'Comparative Literature'},1,Education Programs,1991-09-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,85546.52,"{'Firstname': 'Nancy', 'Lastname': 'Miller', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1990-03-07T00:00:00'}",1,Comparative Literature,Seminars for College Teachers,{},Autobiographical Acts: Gender/Culture/Writing/Theory,,,0,{},6441,1991
42359,FS-22473-93,O,0.0,80301.0,0.0,79819.0,1992-10-01T00:00:00,1992-08-01,"{'Name': 'Political Science, General'}",1,Education Programs,1993-09-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,78874.0,"{'Firstname': 'Bernard', 'Lastname': 'Brown', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1993-04-01T00:00:00'}",1,"Political Science, General",Seminars for College Teachers,{},Modern French Politics,"{'SupplementDate': '1993-04-14T00:00:00', 'OutrightAmount': '945.0000', 'MatchAmount': '0.0000'}",945.0,1,{},6507,1993
42360,FS-22480-93,O,0.0,82406.0,0.0,80702.28,1992-10-01T00:00:00,1992-08-01,{'Name': 'U.S. History'},1,Education Programs,1993-09-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,80702.28,"{'Firstname': 'Thomas', 'Lastname': 'Kessner', 'Institution': 'CUNY Graduate Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1992-03-04T00:00:00'}",1,U.S. History,Seminars for College Teachers,{},"The Making of Modern America, 1918-1941",,,0,{},6508,1993
42463,FS-22768-94,O,0.0,79064.0,0.0,79064.0,1994-10-01T00:00:00,1994-08-01,{'Name': 'U.S. History'},1,Education Programs,1995-09-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,79064.0,"{'Firstname': 'Thomas', 'Lastname': 'Kessner', 'Institution': 'CUNY Graduate Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1994-03-08T00:00:00'}",1,U.S. History,Seminars for College Teachers,{},"The History of a Modern Metropolis: New York, 1870-1940",,,0,{},6611,1994
44276,FV-21296-91,O,0.0,90539.0,0.0,90497.13,1991-10-01T00:00:00,1991-08-01,{'Name': 'U.S. History'},1,Education Programs,1992-09-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,90497.13,"{'Firstname': 'Thomas', 'Lastname': 'Kessner', 'Institution': 'CUNY Graduate Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1991-04-05T00:00:00'}",1,U.S. History,Seminars for School Teachers,{},Classic Studies in the History of Immigration,,,0,{},8424,1991
44411,FV-21646-93,O,0.0,87370.0,0.0,87352.33,1993-10-01T00:00:00,1993-08-01,{'Name': 'U.S. History'},1,Education Programs,1994-09-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,87352.33,"{'Firstname': 'Thomas', 'Lastname': 'Kessner', 'Institution': 'CUNY Graduate Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1993-04-01T00:00:00'}",1,U.S. History,Seminars for School Teachers,{},Classic Studies in the History of Immigration,,,0,{},8559,1993
45912,GP-22067-96,O,0.0,50500.0,0.0,41371.92,1996-10-01T00:00:00,1996-07-01,{'Name': 'U.S. History'},1,Public Programs,1999-09-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,41371.92,"{'Firstname': 'Joshua', 'Lastname': 'Brown', 'Institution': 'Research Foundation CUNY for the Graduate Center CUNY', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1996-01-12T00:00:00'}",1,U.S. History,Special Projects,{},Landscapes in Time: A Proposal to Produce a U.S. History CD-ROM,,,0,To support development of a pilot for a CD-ROM series on U. S. history.,10060,1996
46074,PA-22920-97,O,215000.0,483500.0,215000.0,483500.0,1997-07-01T00:00:00,1997-03-01,{'Name': 'Classics'},1,Preservation and Access,2004-06-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,225000.0,"{'Firstname': 'Dee', 'Lastname': 'Clayman', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '2000-07-01T00:00:00'}",1,Classics,Preservation/Access Projects,{},Database of Classical Bibliography [DCB],"[{'SupplementDate': '2001-06-12T00:00:00', 'OutrightAmount': '169000.0000', 'MatchAmount': '65000.0000'}, {'SupplementDate': '1999-06-03T00:00:00', 'OutrightAmount': '164500.0000', 'MatchAmount': '75000.0000'}]",473500.0,2,"The addition of 13 volumes to the DATABASE OF CLASSICAL BIBLIOGRAPHY, an electronic resource containing the volumes of the ANNEE PHILOLOGIQUE, the international bibliography for the field of classical studies.",10222,1997
46828,RE-21056-92,O,20000.0,50000.0,3324.4,50000.0,1992-04-01T00:00:00,1992-02-01,{'Name': 'Music History and Criticism'},1,Research Programs,1995-03-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,53324.4,"{'Firstname': 'Barry', 'Lastname': 'Brook', 'Institution': 'CUNY Research Foundation, City College', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1991-06-19T00:00:00'}",1,Music History and Criticism,Editions,{},Giovanni Battista Pergolesi Complete Works: A Critical Edition of his Compositions,,,0,"To support the preparation of a critical edition of the music of Giovanni Battista Pergolesi, 1710-36.",10976,1992
46912,RE-21251-95,O,30000.0,50000.0,0.0,45637.16,1995-04-01T00:00:00,1995-02-01,{'Name': 'Music History and Criticism'},1,Research Programs,2000-09-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,45637.16,"{'Firstname': 'Dale', 'Lastname': 'Monson', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1994-06-10T00:00:00'}",1,Music History and Criticism,Editions,{},Giovanni Battista Pergolesi Complete Works: A Critical Edition of his Compositions,,,0,"To support the preparation of an edition of the music of Giovanni Battista Pergolesi, 1710-36.",11060,1995
48678,FA-38057-03,I,0.0,40000.0,0.0,40000.0,2003-09-01T00:00:00,2002-11-01,"{'Name': 'Political Science, General'}",1,Research Programs,2004-08-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",Center For Advanced Study/Research Institute,40000.0,"{'Firstname': 'John', 'Lastname': 'Wallach', 'Institution': 'CUNY Research Foundation, Hunter College', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '2002-05-01T00:00:00'}",1,"Political Science, General",Fellowships for University Teachers,{},Democratic Virtue: Critical Essays for an Ethics of Equality and Power,,,0,{},180,2003
49243,ED-22012-01,O,15000.0,130000.0,15000.0,130000.0,2001-09-01T00:00:00,2001-03-01,{'Name': 'U.S. History'},1,Education Programs,2004-02-28T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",Center For Advanced Study/Research Institute,145000.0,,0,U.S. History,Education Development and Demonstration,{},The Lost Museum -- Exploring Antebellum American Life,,,0,"The development of a web-based interactive re-creation of P.T. Barnum's American Museum, including primary documents and resources for studying important themes in United States history in the period from 1842 to 1865.",745,2001
49289,ED-22189-02,O,0.0,250000.0,0.0,250000.0,2002-06-01T00:00:00,2002-03-01,{'Name': 'U.S. History'},1,Education Programs,2004-12-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",Center For Advanced Study/Research Institute,250000.0,,0,U.S. History,Education Development and Demonstration,{},Learning to Look: Visual Evidence and the U.S. Past,,,0,A two-year professional development program for school and college teachers seeking to integrate visual materials and digital resources into the American Studies classroom.,791,2002
